vertex;person;movie;edge
25758;70965;70327;393464070567
25757;70963;65096;393464660391
25755;70962;65023;393468789159
25749;70960;57395;393469378983
25748;71339;69611;393470558631
25747;70959;63003;384365838759
25745;70956;57397;394998202791
25741;70953;65339;393471148455
25740;70951;60331;393471738279
25738;70950;60213;393472328103
25736;70948;63858;393474097575
25735;70945;57151;393474687399
25732;70938;58063;399717974439
25731;70923;69881;393475277223
25730;70922;61383;388249960871
25727;70917;58450;393476456871
25725;70915;69739;393477046695
25718;70914;67695;399644836263
25717;70900;57353;388779622823
25716;70899;71271;393479995815
25715;70897;61676;393954804135
25712;70896;57563;393481175463
25710;70895;62768;393484124583
25709;70892;57933;393484714407
25707;70887;60313;384320422311
25706;70884;59453;389345329575
25705;70883;58412;393487073703
25703;70880;70753;393489432999
25702;70878;61123;393490612647
25699;70877;64494;378197393831
25698;70874;57366;393491792295
25697;70871;58534;384706232743
25689;70863;63272;389252137383
25683;70860;69469;393492382119
25679;70849;67661;393495921063
25678;70845;57298;393497100711
25677;70844;69779;393499460007
25674;70843;67332;381915054503
25670;70841;62417;393501229479
25669;70840;66996;393502998951
25668;70839;57403;393504768423
25667;70838;58367;393505358247
25666;70834;70673;393506537895
25665;70826;64985;393507127719
25663;70820;60254;393507717543
25662;70818;57358;393508897191
25659;70817;58248;382573298087
25657;70815;59058;393510076839
25654;70814;60283;393510666663
25650;70812;58874;394789405095
25649;70811;69159;389483348391
25648;70801;57416;393511256487
25646;70800;61940;384233128359
25643;70798;59085;393512436135
25640;70797;57833;393514205607
25639;70796;57677;385523728807
25636;70791;69940;380551971239
25635;70789;69251;393518334375
25633;70780;59603;393518924199
25632;70778;59785;395330863527
25630;70776;61746;393519514023
25629;70775;57838;393520693671
25627;70770;66309;393522463143
25625;70769;58156;393524822439
25624;70768;57593;395355636135
25621;70762;67298;393526002087
25618;70743;62121;393528951207
25617;70738;57977;400074817959
25616;70737;60352;393535439271
25613;70735;57841;380570255783
25612;70733;61250;393537208743
25611;70730;58487;397690749351
25610;70726;69684;395299013031
25608;70724;58297;393537798567
25607;70721;70585;393538388391
25606;70718;57042;393538978215
25603;70717;57844;393541927335
25601;70699;66706;398849163687
25597;70698;59962;393544876455
25595;70697;61851;393546056103
25594;71019;59586;383483986343
25593;70694;58102;393547235751
25592;70693;63307;397406454183
25591;70691;59625;385219379623
25590;70690;60993;394183655847
25589;70687;68163;393548415399
25585;70677;65415;385108492711
25584;70674;59597;393549595047
25580;70671;60641;394807689639
25579;70668;59488;393550184871
25576;70663;59494;393550774695
25568;71325;59542;393552544167
25565;70653;57845;393553133991
25564;70652;59555;393554313639
25560;70648;63940;393556672935
25558;70646;57846;393557262759
25552;70644;58182;393766650279
25551;70643;63029;389433803175
25545;70641;70747;393557852583
25543;70639;59841;393560801703
